voxelx=1;voxely=1;voxelz=1;
x,index,y,z,xVoxel,yVoxel,zVoxel,channel,cSeconds,mSeconds,note,isBad,roiType,segmentID,connectionID,brightestIndex,xLine,yLine,zLine,xBackgroundOffset,yBackgroundOffset,connectionSide,sSum_ch1,sSum_ch2,sMin_ch1,sMin_ch2,sMax_ch1,sMax_ch2,sMean_ch1,sMean_ch2,sStd_ch1,sStd_ch2,sbSum_ch1,sbSum_ch2,sbMin_ch1,sbMin_ch2,sbMax_ch1,sbMax_ch2,sbMean_ch1,sbMean_ch2,sbStd_ch1,sbStd_ch2,dSum_ch1,dSum_ch2,dMin_ch1,dMin_ch2,dMax_ch1,dMax_ch2,dMean_ch1,dMean_ch2,dStd_ch1,dStd_ch2,dbSum_ch1,dbSum_ch2,dbMin_ch1,dbMin_ch2,dbMax_ch1,dbMax_ch2,dbMean_ch1,dbMean_ch2,dbStd_ch1,dbStd_ch2,width,extendHead,extendTail,zPlusMinus,numPts,radius,spineROICoords,segmentROICoords
0.0,0,0.0,0.0,0.0,0.0,0,,,1688782373.722114,,,globalPIvot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.0,1,204.0,30.0,81.72,24.48,30,,,1688782373.722259,,,pivotPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353.5083333333333,2,240.3416666666667,31.0,42.421,28.841,31,,,1688782373.7223868,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.44166666666666,3,235.50000000000003,31.0,45.293,28.26,31,,,1688782373.722511,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401.375,4,231.50833333333333,31.0,48.165,27.781,31,,,1688782373.722634,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424.7416666666667,5,225.24166666666667,31.0,50.969,27.029,31,,,1688782373.722755,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2583333333333,6,218.4,31.0,53.431,26.208,31,,,1688782373.722878,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466.175,7,212.99166666666667,31.0,55.941,25.559,31,,,1688782373.723,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497.52500000000003,8,209.28333333333336,31.0,59.703,25.114,31,,,1688782373.723121,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526.3083333333333,9,205.86666666666667,31.0,63.157,24.704,31,,,1688782373.7232409,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.1250000000001,10,203.86666666666667,31.0,66.135,24.464,31,,,1688782373.723361,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576.975,11,202.775,30.0,69.237,24.333,30,,,1688782373.7234812,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609.7416666666667,12,201.06666666666666,30.0,73.169,24.128,30,,,1688782373.7236009,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645.075,13,202.2,30.0,77.409,24.264,30,,,1688782373.723721,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669.1666666666666,14,203.05833333333334,30.0,80.3,24.367,30,,,1688782373.7238421,,,controlPnt,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
